cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990015096019	F	20	음료	8.0	0.0	11.0	6.0	5.0	5.0	4.0	0.0
9990015096019	F	20	티 베리에이션	2.0	0.0	11.0	6.0	5.0	5.0	4.0	0.0
9990003667142	F	20	에스프레소 베리에이션	8.0	0.0	1.0	2.0	5.0	7.0	2.0	0.0
9990003667142	F	20	음료	6.0	0.0	1.0	2.0	5.0	7.0	2.0	0.0
9990003667142	F	20	티 베리에이션	3.0	0.0	1.0	2.0	5.0	7.0	2.0	0.0
1000000368137	M	20	에스프레소 베리에이션	90.0	0.0	0.0	14.0	124.0	13.0	0.0	0.0
1000000368137	M	20	음료	9.0	0.0	0.0	14.0	124.0	13.0	0.0	0.0
1000000368137	M	20	티 베리에이션	52.0	0.0	0.0	14.0	124.0	13.0	0.0	0.0
9990007893117	F	20	에스프레소 베리에이션	16.0	0.0	0.0	5.0	10.0	5.0	4.0	0.0
9990007893117	F	20	음료	8.0	0.0	0.0	5.0	10.0	5.0	4.0	0.0
