cust_no	gen_cd	age	mclf_nm	sale_qty	t_5to8	t_8to11	t_11to14	t_14to17	t_17to20	t_20to22	t_22to5
9990011723816	F	30	티 베리에이션	7.0	0.0	0.0	0.0	21.0	0.0	14.0	1.0
1000001087549	F	50	에스프레소 베리에이션	22.0	0.0	2.0	5.0	14.0	3.0	0.0	0.0
1000001087549	F	50	음료	2.0	0.0	2.0	5.0	14.0	3.0	0.0	0.0
1000002067492	M	20	에스프레소 베리에이션	13.0	1.0	4.0	5.0	3.0	2.0	2.0	0.0
1000002067492	M	20	음료	3.0	1.0	4.0	5.0	3.0	2.0	2.0	0.0
1000002067492	M	20	티 베리에이션	1.0	1.0	4.0	5.0	3.0	2.0	2.0	0.0
9990005922182	M	30	에스프레소 베리에이션	32.0	0.0	15.0	34.0	8.0	10.0	3.0	15.0
9990005922182	M	30	음료	37.0	0.0	15.0	34.0	8.0	10.0	3.0	15.0
9990005922182	M	30	티 베리에이션	16.0	0.0	15.0	34.0	8.0	10.0	3.0	15.0
9990017941498	M	40	에스프레소 베리에이션	18.0	0.0	7.0	4.0	11.0	2.0	4.0	0.0
9990017941498	M	40	음료	10.0	0.0	7.0	4.0	11.0	2.0	4.0	0.0
9990011264561	F	30	에스프레소 베리에이션	23.0	0.0	24.0	4.0	0.0	2.0	0.0	0.0
9990011264561	F	30	음료	4.0	0.0	24.0	4.0	0.0	2.0	0.0	0.0
9990011264561	F	30	티 베리에이션	3.0	0.0	24.0	4.0	0.0	2.0	0.0	0.0
1000000513805	F	10	에스프레소 베리에이션	6.0	0.0	3.0	1.0	3.0	9.0	0.0	0.0
1000000513805	F	10	음료	10.0	0.0	3.0	1.0	3.0	9.0	0.0	0.0
1000000173231	M	30	에스프레소 베리에이션	23.0	0.0	5.0	16.0	4.0	1.0	5.0	2.0
1000000173231	M	30	음료	5.0	0.0	5.0	16.0	4.0	1.0	5.0	2.0
1000000173231	M	30	티 베리에이션	5.0	0.0	5.0	16.0	4.0	1.0	5.0	2.0
9990010227828	M	40	에스프레소 베리에이션	94.0	0.0	0.0	100.0	2.0	5.0	0.0	0.0
9990010227828	M	40	음료	1.0	0.0	0.0	100.0	2.0	5.0	0.0	0.0
9990010227828	M	40	티 베리에이션	12.0	0.0	0.0	100.0	2.0	5.0	0.0	0.0
9990017834112	F	40	에스프레소 베리에이션	6.0	0.0	0.0	1.0	4.0	2.0	5.0	0.0
9990017834112	F	40	음료	6.0	0.0	0.0	1.0	4.0	2.0	5.0	0.0
9990003107263	F	30	에스프레소 베리에이션	55.0	0.0	26.0	34.0	15.0	2.0	5.0	0.0
9990003107263	F	30	음료	23.0	0.0	26.0	34.0	15.0	2.0	5.0	0.0
9990003107263	F	30	티 베리에이션	4.0	0.0	26.0	34.0	15.0	2.0	5.0	0.0
1000000609580	F	30	에스프레소 베리에이션	101.0	0.0	4.0	59.0	85.0	15.0	0.0	0.0
1000000609580	F	30	음료	49.0	0.0	4.0	59.0	85.0	15.0	0.0	0.0
1000000609580	F	30	티 베리에이션	13.0	0.0	4.0	59.0	85.0	15.0	0.0	0.0
9990010744650	F	30	에스프레소 베리에이션	30.0	0.0	20.0	17.0	27.0	3.0	0.0	0.0
9990010744650	F	30	음료	9.0	0.0	20.0	17.0	27.0	3.0	0.0	0.0
9990010744650	F	30	티 베리에이션	28.0	0.0	20.0	17.0	27.0	3.0	0.0	0.0
1000000157553	M	30	에스프레소 베리에이션	66.0	0.0	43.0	16.0	13.0	3.0	0.0	0.0
1000000157553	M	30	음료	8.0	0.0	43.0	16.0	13.0	3.0	0.0	0.0
1000000157553	M	30	티 베리에이션	1.0	0.0	43.0	16.0	13.0	3.0	0.0	0.0
9990013987480	F	40	에스프레소 베리에이션	39.0	0.0	12.0	19.0	6.0	2.0	3.0	0.0
9990013987480	F	40	음료	2.0	0.0	12.0	19.0	6.0	2.0	3.0	0.0
9990013987480	F	40	티 베리에이션	1.0	0.0	12.0	19.0	6.0	2.0	3.0	0.0
1000000887472	F	40	에스프레소 베리에이션	20.0	0.0	2.0	16.0	12.0	2.0	0.0	0.0
1000000887472	F	40	음료	12.0	0.0	2.0	16.0	12.0	2.0	0.0	0.0
9990004623933	F	30	에스프레소 베리에이션	45.0	1.0	9.0	20.0	13.0	12.0	0.0	0.0
9990004623933	F	30	음료	4.0	1.0	9.0	20.0	13.0	12.0	0.0	0.0
9990004623933	F	30	티 베리에이션	6.0	1.0	9.0	20.0	13.0	12.0	0.0	0.0
1000000764990	F	20	에스프레소 베리에이션	24.0	0.0	13.0	5.0	4.0	12.0	2.0	0.0
1000000764990	F	20	음료	9.0	0.0	13.0	5.0	4.0	12.0	2.0	0.0
1000000764990	F	20	티 베리에이션	3.0	0.0	13.0	5.0	4.0	12.0	2.0	0.0
9990003822256	F	30	에스프레소 베리에이션	57.0	2.0	19.0	35.0	21.0	2.0	0.0	0.0
9990003822256	F	30	음료	12.0	2.0	19.0	35.0	21.0	2.0	0.0	0.0
9990003822256	F	30	티 베리에이션	10.0	2.0	19.0	35.0	21.0	2.0	0.0	0.0
9990006392345	F	30	에스프레소 베리에이션	142.0	0.0	80.0	66.0	21.0	5.0	1.0	0.0
9990006392345	F	30	음료	17.0	0.0	80.0	66.0	21.0	5.0	1.0	0.0
9990006392345	F	30	티 베리에이션	14.0	0.0	80.0	66.0	21.0	5.0	1.0	0.0
1000000732460	F	20	에스프레소 베리에이션	39.0	0.0	1.0	11.0	17.0	12.0	4.0	0.0
1000000732460	F	20	음료	2.0	0.0	1.0	11.0	17.0	12.0	4.0	0.0
1000000732460	F	20	티 베리에이션	4.0	0.0	1.0	11.0	17.0	12.0	4.0	0.0
9990000106963	F	20	에스프레소 베리에이션	89.0	0.0	72.0	42.0	14.0	0.0	0.0	0.0
9990000106963	F	20	음료	23.0	0.0	72.0	42.0	14.0	0.0	0.0	0.0
9990000106963	F	20	티 베리에이션	16.0	0.0	72.0	42.0	14.0	0.0	0.0	0.0
1000001025664	M	30	에스프레소 베리에이션	87.0	4.0	34.0	40.0	26.0	3.0	0.0	0.0
1000001025664	M	30	음료	6.0	4.0	34.0	40.0	26.0	3.0	0.0	0.0
1000001025664	M	30	티 베리에이션	14.0	4.0	34.0	40.0	26.0	3.0	0.0	0.0
1000000112374	F	30	에스프레소 베리에이션	28.0	3.0	17.0	9.0	3.0	3.0	0.0	0.0
1000000112374	F	30	음료	3.0	3.0	17.0	9.0	3.0	3.0	0.0	0.0
1000000112374	F	30	티 베리에이션	4.0	3.0	17.0	9.0	3.0	3.0	0.0	0.0
